#protein_ID	protein_accession	Gene_ID	Gene_symbol
1944824655	XP_038058391	ECB-GENE-25459217	LOC119729736
1944824674	XP_038058443	ECB-GENE-25459295	LOC119729771
1944824677	XP_038058450	ECB-GENE-25459295	LOC119729771
1944824901	XP_038058801	ECB-GENE-25459615	LOC119730087
1944825310	XP_038060133	ECB-GENE-25461073	LOC119731156
1944825399	XP_038060388	ECB-GENE-25461384	LOC119731310
1944825501	XP_038060662	ECB-GENE-25461577	LOC119731553
1944825975	XP_038062135	ECB-GENE-25463360	LOC119732621
1944826014	XP_038062237	ECB-GENE-25463456	LOC119732672
1944826553	XP_038063670	ECB-GENE-25464427	LOC119734308
1944826707	XP_038064271	ECB-GENE-25465177	LOC119734786
1944826709	XP_038064283	ECB-GENE-25465182	LOC119734793
1944826716	XP_038064317	ECB-GENE-25465235	LOC119734814
1944826719	XP_038064325	ECB-GENE-25465235	LOC119734814
1944826724	XP_038064337	ECB-GENE-25465268	LOC119734829
1944826728	XP_038064345	ECB-GENE-25465268	LOC119734829
1944826731	XP_038064356	ECB-GENE-25465304	LOC119734843
1944826734	XP_038064364	ECB-GENE-25465304	LOC119734843
1944826737	XP_038064379	ECB-GENE-25465363	LOC119734854
1944826741	XP_038064390	ECB-GENE-25465373	LOC119734860
1944826744	XP_038064398	ECB-GENE-25465373	LOC119734860
1944826749	XP_038064407	ECB-GENE-25465373	LOC119734860
1944826752	XP_038064415	ECB-GENE-25465373	LOC119734860
1944826757	XP_038064425	ECB-GENE-25465373	LOC119734860
1944826762	XP_038064434	ECB-GENE-25465373	LOC119734860
1944826768	XP_038064442	ECB-GENE-25465373	LOC119734860
1944826773	XP_038064449	ECB-GENE-25465373	LOC119734860
1944826794	XP_038064491	ECB-GENE-25465487	LOC119734923
1944826797	XP_038064503	ECB-GENE-25465501	LOC119734932
1944826803	XP_038064511	ECB-GENE-25465501	LOC119734932
